words	pos	ner
"['@paulwalk', 'It', ""'s"", 'the', 'view', 'from', 'where', 'I', ""'m"", 'living', 'for', 'two', 'weeks', '.', 'Empire', 'State', 'Building', '=', 'ESB', '.', 'Pretty', 'bad', 'storm', 'here', 'last', 'evening', '.']"	['VB', 'PRP', 'VBZ', 'DT', 'NN', 'IN', 'WRB', 'PRP', 'VBP', 'VBG', 'IN', 'CD', 'NNS', '.', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', '.', 'NNP', 'JJ', 'NN', 'RB', 'JJ', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'I-location', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['From', 'Green', 'Newsfeed', ':', 'AHFA', 'extends', 'deadline', 'for', 'Sage', 'Award', 'to', 'Nov', '.', '5', 'http://tinyurl.com/24agj38']	['IN', 'JJ', 'NN', ':', 'NNP', 'VBZ', 'NN', 'IN', 'NNP', 'NNP', 'TO', 'NNP', '.', 'CD', 'NN']	['O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Pxleyes', 'Top', '50', 'Photography', 'Contest', 'Pictures', 'of', 'August', '2010', '...', 'http://bit.ly/bgCyZ0', '#photography']	['NNP', 'NNP', 'CD', 'NNP', 'NNP', 'NNPS', 'IN', 'NNP', 'CD', ':', 'NN', 'NN']	['B-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['today', 'is', 'my', 'last', 'day', 'at', 'the', 'office', '.']	['NN', 'VBZ', 'PRP$', 'JJ', 'NN', 'IN', 'DT', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['4Dbling', ""'s"", 'place', 'til', 'monday', ',', 'party', 'party', 'party', '.', '&lt;', '3']"	['VBG', 'POS', 'NN', 'NN', 'NN', ',', 'NN', 'NN', 'NN', '.', '$', 'CD']	['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['watching', 'the', 'VMA', 'pre-show', 'again', 'lol', 'it', 'was', ""n't"", 'even', 'a', 'good', 'show', 'the', 'first', 'time', '...', 'so', 'bored', '!']"	['VBG', 'DT', 'NNP', 'NN', 'RB', 'VBD', 'PRP', 'VBD', 'RB', 'RB', 'DT', 'JJ', 'NN', 'DT', 'JJ', 'NN', ':', 'RB', 'JJ', '.']	['O', 'O', 'B-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['27', 'followers', '!', '30', 'followers', 'is', 'my', 'goal', 'for', 'today', '!']	['CD', 'NNS', '.', 'CD', 'NNS', 'VBZ', 'PRP$', 'NN', 'IN', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['This', 'is', 'the', '2nd', 'hospital', 'ive', 'been', 'in', 'today', ',', 'but', 'ive', 'just', 'seen', 'a', 'doctor', 'who', 'was', 'an', 'older', 'version', 'of', 'justin', "":'"", ')']"	['DT', 'VBZ', 'DT', 'JJ', 'NN', 'JJ', 'VBN', 'IN', 'NN', ',', 'CC', 'JJ', 'RB', 'VBN', 'DT', 'NN', 'WP', 'VBD', 'DT', 'JJR', 'NN', 'IN', 'NN', 'NN', ')']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Friday', 'Night', 'Eats', 'http://twitpic.com/2pdvtr']	['NNP', 'NNP', 'NNP', 'VBD']	['O', 'O', 'O', 'O']
['Gotta', 'dress', 'up', 'for', 'london', 'fashion', 'week', 'and', 'party', 'in', 'style', '!']	['NNP', 'NN', 'RP', 'IN', 'JJ', 'NN', 'NN', 'CC', 'NN', 'IN', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['@Suzie55', 'whispering', 'cause', 'I', 'may', 'have', 'had', '1', 'too', 'many', 'vodka', ""'s"", 'last', 'night', 'and', 'am', 'a', 'lil', 'fragile', ',', 'hold', 'me', '?']"	['JJ', 'NN', 'NN', 'PRP', 'MD', 'VB', 'VBD', 'CD', 'RB', 'JJ', 'NN', 'POS', 'JJ', 'NN', 'CC', 'VBP', 'DT', 'NN', 'NN', ',', 'VB', 'PRP', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
