words	pos	ner
['Stabilized', 'approach', 'or', 'not', '?', 'That', 'Â´', 's', 'insane', 'and', 'good', '.']	['VBN', 'NN', 'CC', 'RB', '.', 'IN', 'VBZ', 'JJ', 'NN', 'CC', 'JJ', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['You', 'should', ""'"", 've', 'stayed', 'on', 'Redondo', 'Beach', 'Blvd', '.', 'you', 'were', 'in', 'the', 'borderlines', 'of', 'Gardena', '/', 'Compton']"	"['PRP', 'MD', ""''"", 'VB', 'VBN', 'IN', 'NNP', 'NNP', 'NNP', '.', 'PRP', 'VBD', 'IN', 'DT', 'NNS', 'IN', 'NNP', 'NNP', 'NNP']"	['O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'B-location']
"['All', 'I', ""'"", 've', 'been', 'doing', 'is', 'BINGE', 'watching', 'Rick', 'and', 'Morty', 'ð\x9f\x98\x82']"	['DT', 'PRP', 'POS', 'NNS', 'VBN', 'VBG', 'VBZ', 'NNP', 'VBG', 'NNP', 'CC', 'NNP', 'NNP']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'I-creative-work', 'O']
['wow', 'emma', 'and', 'kaite', 'is', 'so', 'very', 'cute', 'and', 'so', 'funny', 'ð\x9f\x98\x80', 'ð\x9f\x98\x80', 'ð\x9f\x98\x80', 'ð\x9f\x98\x97', 'ð\x9f\x98\x98', 'i', 'wish', 'im', 'ryan', 'ð\x9f\x98\xad', 'ð\x9f\x98\xad', 'ð\x9f\x98\xad']	['NN', 'NN', 'CC', 'NN', 'VBZ', 'RB', 'RB', 'JJ', 'CC', 'RB', 'JJ', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'VBP', 'JJ', 'NN', 'NN', 'NNP', 'NNP', 'NN']	['O', 'B-person', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O']
['THIS', 'IS', 'SO', 'GOOD']	['NNP', 'VBZ', 'RB', 'JJ']	['O', 'O', 'O', 'O']
"['trump', 'is', 'the', 'Kremlin', ""'"", 's', 'boy']"	['NN', 'VBZ', 'DT', 'NNP', 'POS', 'NN', 'NN']	['B-person', 'O', 'O', 'O', 'O', 'O', 'O']
['Hobby', 'frog', 'is', 'a', 'savege']	['NNP', 'NN', 'VBZ', 'DT', 'NN']	['B-person', 'I-person', 'O', 'O', 'O']
['creepy', 'AF', '.', 'lol']	['NN', 'NNP', '.', 'NN']	['O', 'O', 'O', 'O']
['These', 'trap', 'came', 'from', 'Taiwan', '.']	['DT', 'NNS', 'VBD', 'IN', 'NNP', '.']	['O', 'O', 'O', 'O', 'B-location', 'O']
['Idiot', 'needs', 'to', 'be', 'punched', 'in', 'the', 'throat', ',', 'he', 'has', 'no', 'business', 'with', 'a', 'kitten', 'or', 'a', 'baby', ',', 'a', 'donkey', 'punch', 'to', 'the', 'back', 'of', 'his', 'head', 'is', 'warranted', 'as', 'well', ',', 'fucking', 'moron', '!']	['NNP', 'VBZ', 'TO', 'VB', 'VBN', 'IN', 'DT', 'NN', ',', 'PRP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'CC', 'DT', 'NN', ',', 'DT', 'JJ', 'NN', 'TO', 'DT', 'NN', 'IN', 'PRP$', 'NN', 'VBZ', 'VBN', 'RB', 'RB', ',', 'VBG', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['Mine', 'is', 'a', 'skin', 'product', 'but', 'I', 'never', 'need', 'any', 'moisturizer', 'or', 'primer', 'in', 'the', 'morning', '.', 'It', ""'"", 's', 'called', 'HA', '5', '.', 'It', ""'"", 's', 'amazing', '.', 'Takes', 'my', 'dark', 'circles', 'and', 'puffiness', 'away', '!', 'Makeup', 'lays', 'beautiful', 'over', 'it', '!']"	"['NNP', 'VBZ', 'DT', 'JJ', 'NN', 'CC', 'PRP', 'RB', 'VBP', 'DT', 'NN', 'CC', 'NN', 'IN', 'DT', 'NN', '.', 'PRP', ""''"", 'NN', 'VBD', 'NNP', 'CD', '.', 'PRP', ""''"", 'JJ', 'NN', '.', 'VB', 'PRP$', 'NN', 'NNS', 'CC', 'VB', 'RB', '.', 'NNP', 'VBZ', 'NN', 'IN', 'PRP', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Had', 'to', 'mute', 'this', 'because', 'she', 'sounds', 'so', 'dumb']	['NNP', 'TO', 'VB', 'DT', 'IN', 'PRP', 'VBZ', 'RB', 'JJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Warriors', 'looked', 'a', 'little', 'bored', ',', 'gave', 'a', 'c', 'plus', 'effort', 'and', 'got', 'the', 'win', '.', '.', '.', 'This', 'should', 'be', 'short', 'and', 'sweet', '.']	['NNS', 'VBD', 'DT', 'JJ', 'JJ', ',', 'VBD', 'DT', 'JJ', 'CC', 'NN', 'CC', 'VBD', 'DT', 'NN', '.', '.', '.', 'DT', 'MD', 'VB', 'JJ', 'CC', 'JJ', '.']	['B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Wow', 'smh', 'envy', 'nails', 'are', 'so', 'clean', 'and', 'long', ',', 'thought', 'they', 'were', 'fake']	['NNP', 'NN', 'NN', 'NNS', 'VBP', 'RB', 'JJ', 'CC', 'JJ', ',', 'VBN', 'PRP', 'VBD', 'VB']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['Everyday', 'I', ""'"", 'm', 'more', 'and', 'more', 'thankful', 'that', 'Hillary', 'Clinton', 'will', 'never', 'be', 'president']"	['JJ', 'PRP', 'POS', 'NN', 'RBR', 'CC', 'RBR', 'JJ', 'IN', 'NNP', 'NNP', 'MD', 'RB', 'VB', 'NN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O']
"['I', 'wo', 'n', ""'"", 't', 'support', 'for', 'Donald', 'trump', 'if', 'I', 'get', '5', 'likes']"	"['PRP', 'MD', 'VB', ""''"", 'JJ', 'NN', 'IN', 'NNP', 'NN', 'IN', 'PRP', 'VBP', 'CD', 'NNS']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O']
"['Ca', 'n', ""'"", 't', 'watch', 'this', 'nearly', 'enough', '.', '.', 'Much', 'love', 'to', 'your', 'lost', 'one', '<', '3']"	"['NNP', 'NN', ""''"", 'JJ', 'NN', 'DT', 'RB', 'RB', '.', '.', 'JJ', 'NN', 'TO', 'PRP$', 'VBN', 'CD', 'NN', 'CD']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['I', ""'"", 'm', 'getting', 'a', 'garbage', ',', 'Kylie', 'minogue', 'feel', '.', '.', '.', 'I', 'love', 'it']"	"['PRP', ""''"", 'NN', 'VBG', 'DT', 'NN', ',', 'NNP', 'NN', 'NN', '.', '.', '.', 'PRP', 'VBP', 'PRP']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['thanks', 'for', 'colors', 'superheroes', 'kids', 'videos', '!', ')', 'Like', 'learn', 'Colors', 'and', 'Numbers', '!', ')', 'ð\x9f\x92\x99', 'ð\x9f\x92\x99', 'ð\x9f\x92\x99']	['NNS', 'IN', 'NNS', 'NNS', 'NNS', 'RB', '.', ')', 'IN', 'NN', 'NNS', 'CC', 'NNP', '.', ')', 'VBP', 'JJ', 'NN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'I-creative-work', 'I-creative-work', 'O', 'O', 'O', 'O', 'O']
"['12', ':', '46', 'is', 'it', 'just', 'me', 'who', 'thought', 'that', 'MaryJs', 'protÃ©gÃ©', 'look', 'alike', 'in', 'the', 'audience', 'is', 'a', 'dude', '?', 'Sorry', 'if', 'she', 'ain', ""'"", 't', '.']"	"['CD', ':', 'CD', 'VBZ', 'PRP', 'RB', 'PRP', 'WP', 'VBD', 'IN', 'NNP', 'VBD', 'JJS', 'RB', 'IN', 'DT', 'NN', 'VBZ', 'DT', 'NN', '.', 'NNP', 'IN', 'PRP', 'VBP', ""''"", 'NN', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Watched', 'your', 'video', '!', 'Great', 'work', '!', 'Thumbs', 'up', '!', '!', '!', 'Welcome', 'to', 'my', 'channel', '!']	['VBN', 'PRP$', 'NN', '.', 'NNP', 'NN', '.', 'VB', 'RP', '.', '.', '.', 'UH', 'TO', 'PRP$', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Kenny', ',', 'you', 'need', 'to', 'get', 'back', 'to', 'your', 'roots', '.', 'This', 'is', 'crap', '.', 'Leave', 'the', 'politics', 'to', 'the', 'politicians', 'and', 'start', 'producing', 'country', 'music', 'again', '!']	['NNP', ',', 'PRP', 'VBP', 'TO', 'VB', 'RB', 'TO', 'PRP$', 'NNS', '.', 'DT', 'VBZ', 'NN', '.', 'VB', 'DT', 'NNS', 'TO', 'DT', 'NNS', 'CC', 'VB', 'VBG', 'NN', 'NN', 'RB', '.']	['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['hhaahaa', 'ð\x9f\x98\x82', 'ð\x9f\x98\x82', 'martin', 'short', 'great', '!']	['NN', 'NNP', 'NNP', 'NNP', 'JJ', 'JJ', '.']	['O', 'O', 'O', 'B-person', 'I-person', 'O', 'O']
['not', 'a', 'Trump', 'supporter', 'by', 'any', 'meabs', 'but', 'she', 'just', 'sounds', 'like', 'a', 'sore', 'looser', '.', 'like', 'a', 'middle', 'schooler', 'who', 'got', 'chosen', 'last', '.']	['RB', 'DT', 'NNP', 'NN', 'IN', 'DT', 'NNS', 'CC', 'PRP', 'RB', 'VBZ', 'IN', 'DT', 'NN', 'NN', '.', 'IN', 'DT', 'JJ', 'NN', 'WP', 'VBD', 'VBN', 'JJ', '.']	['O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['I', 'love', 'the', 'cute', 'Lil', 'Darth', 'Vader', 'kitten', '!']	['PRP', 'VBP', 'DT', 'NN', 'NNP', 'NNP', 'NNP', 'NN', '.']	['O', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'O']
